ID,BCR,AOU_52,CommonName,ScientificName,Introduced,BD-g,BD-g_s,BD-g Area,BD-g_com,GlobalPopEst,PS-g,PS-g_s,PS-g_com1,PS-g_com2,PS-g_com3,PT-r,PT-r_s,PT-r_com,TB-r,TB-r_s,TB-r_com,RD-b,RD-b_s,RD-b_com,pPop,pPop_s,SubstShared,RCS-b,RC,UCC,TNC,TNC-group,CBSD,Action,RS,UCS
5994,37,1362,Tamaulipas Crow,Corvus imparatus,FALSE,4,Natureserve 3.0,113769,,200000,4,PIFTC-02,,,,3,No data,,4,Gustafson,Picture unclear with difficulty in cross-border travel; numbers greatly reduced within 100 km of border (absent or 1 pair on US side).  Threats unclear but could include West Nile Virus and contaminants.,4,Gustafson,last nest found in US in 2007; declining/absent in northern Tamaulipas; average with Mexican score,5.1,Range,,19,TRUE,TRUE,FALSE,,FALSE,MA,FALSE,FALSE
5995,37,1364,Fish Crow,Corvus ossifragus,FALSE,3,Natureserve 3.0,970522,,450000,4,PIF BBS-based calculation 2008,,,,2,BBS-08,,1,SE-PIF,,3,bbs07,,2.4,BBS,,13,FALSE,FALSE,FALSE,,FALSE,,FALSE,FALSE
5996,37,1366,Chihuahuan Raven,Corvus cryptoleucus,FALSE,2,Natureserve 3.0,1197262,,780000,3,PIF BBS-based calculation 2008,,,,3,No data,,2,Hunter,,1,Hunter,higher density in Cameron Co; less obvious (less access?) in other coastal counties.  (Gustafson),0.3,Range,US-MX,11,FALSE,FALSE,FALSE,,FALSE,,FALSE,FALSE
5997,37,1372,Horned Lark,Eremophila alpestris,FALSE,1,Natureserve 3.0,20824080,,100000000,1,PIF BBS-based calculation 2008,,,,4,Hunter,,4,,,1,bbs07,,0,BBS & RngG & Nwt,CA-US,11,FALSE,FALSE,FALSE,,FALSE,,FALSE,FALSE
5998,37,1373,Purple Martin,Progne subis,FALSE,1,Natureserve 3.0,5717544,,6800000,2,PIF BBS-based calculation 2008,,,,2,BBS-08,,3,,,5,bbs07,,4.8,BBS & RngG,US-MX,13,FALSE,FALSE,FALSE,,FALSE,,FALSE,FALSE
5999,37,1388,Northern Rough-winged Swallow,Stelgidopteryx serripennis,FALSE,1,Natureserve 3.0,9961583,,15000000,2,PIF BBS-based calculation 2008,,,,3,BBS-08,,2,SE-PIF,,4,bbs07,,0.8,BBS & RngG,US-MX,12,FALSE,FALSE,FALSE,,FALSE,,FALSE,FALSE
6000,37,1390,Bank Swallow,Riparia riparia,FALSE,1,Natureserve 3.0,34349347,,19000000,2,PIF BBS-based calculation 2008,,,,3,No data,,2,SE-PIF,,2,bbs07,calculated relative to max density in BCR 9,0,RngG & BBS & Nwt,CA-US-MX,10,FALSE,FALSE,FALSE,,TRUE,,FALSE,FALSE
6001,37,1391,Cliff Swallow,Petrochelidon pyrrhonota,FALSE,1,Natureserve 3.0,11966484,,42000000,2,PIF BBS-based calculation 2008,,,,2,BBS-08,,1,SE-PIF,,4,bbs07,,1.4,BBS & RngG & Nwt,US-MX,10,FALSE,FALSE,FALSE,,FALSE,,FALSE,FALSE
6002,37,1392,Cave Swallow,Petrochelidon fulva,FALSE,3,Natureserve 3.0,989679,,3400000,3,PIF BBS-based calculation 2008,,,,1,Gustafson/Vermillion,well over former levels; habitat includes freeway overpasses,2,Hunter,,3,bbs07,,2.8,RngG & BBS,US-MX,12,FALSE,FALSE,FALSE,,FALSE,,FALSE,FALSE
6003,37,1393,Barn Swallow,Hirundo rustica,FALSE,1,Natureserve 3.0,42908680,,120000000,1,PIF BBS-based calculation 2008,,,,2,BBS-08,,2,Hunter,,5,bbs07,,0.4,RngG & BBS & Nwt,US-MX,11,FALSE,FALSE,FALSE,,FALSE,,FALSE,FALSE
6004,37,1395,Carolina Chickadee,Poecile carolinensis,FALSE,2,Natureserve 3.0,2312578,,12000000,2,PIF BBS-based calculation 2008,,,,2,BBS-08,,2,Hunter,,4,bbs07,,1.3,BBS,,12,FALSE,FALSE,FALSE,,FALSE,,FALSE,FALSE
6005,37,1405,Tufted Titmouse,Baeolophus bicolor,FALSE,2,Natureserve 3.0,2967755,,8000000,2,PIF BBS-based calculation 2008,,,,3,BBS-08,,2,Hunter,,3,bbs07,,0.4,BBS,,12,FALSE,FALSE,FALSE,,FALSE,,FALSE,FALSE
6006,37,1406,Black-crested Titmouse,Baeolophus atricristatus,FALSE,3,Natureserve 3.0,647816,,950000,3,PIF BBS-based calculation 2008,,,,3,No data,,2,Hunter,,2,bbs07,,2.6,BBS & RngG,US-MX,13,FALSE,FALSE,FALSE,,FALSE,,FALSE,FALSE
6007,37,1407,Verdin,Auriparus flaviceps,FALSE,2,Natureserve 3.0,1756212,,8400000,2,PIF BBS-based calculation 2008,,,,3,No data,,3,Vermillion,Species added to BCR list based on recent BBS record(s); threats similar to BCR 36 but available habitat (arid thornscrub) more pressured by clearing for a variety of reasons; high human use area where species is present at south end of US BCR 37.  Mexico,1,bbs07,,0.2,RngG & BBS,US-MX,11,FALSE,FALSE,FALSE,,FALSE,,FALSE,FALSE
6008,37,1412,Brown-headed Nuthatch,Sitta pusilla,FALSE,3,Natureserve 3.0,941670,,1100000,3,PIF BBS-based calculation 2008,,,,3,No data,,3,Vermillion,Species added to BCR 37 list based on recent BBS record(s),1,Vermillion,BHNU BBS record from one of my routes; not known for long distance dispersion; talk to Cliff; perhaps P more appropriate,0,BBS & RngG,,13,FALSE,FALSE,FALSE,,FALSE,,FALSE,FALSE
6009,37,1422,Cactus Wren,Campylorhynchus brunneicapillus,FALSE,2,Natureserve 3.0,1849554,,6900000,2,PIF BBS-based calculation 2008,,,,3,Hunter,,2,Hunter,,1,bbs07,,0.2,RngG & BBS,US-MX,10,FALSE,FALSE,FALSE,,FALSE,,FALSE,FALSE
6010,37,1439,Carolina Wren,Thryothorus ludovicianus,FALSE,2,Natureserve 3.0,3207537,,14000000,2,PIF BBS-based calculation 2008,,,,2,BBS-08,,2,SE-PIF,,3,bbs07,,1.1,BBS & RngG,,11,FALSE,FALSE,FALSE,,FALSE,,FALSE,FALSE
6011,37,1443,Bewick's Wren,Thryomanes bewickii,FALSE,2,Natureserve 3.0,3303063,,5600000,2,PIF BBS-based calculation 2008,,,,3,BBS-08,,4,Vermillion,Range in BCR 37 has contracted but species seems to be stable at far end of BCR 37 (Laguna Madre) according to BBS data.  Lowery (LA Birds) didn't report it as a breeder in LA at all.,2,bbs07,,0.5,BBS & RngG,US-MX,13,FALSE,FALSE,FALSE,,FALSE,,FALSE,FALSE
6012,37,1453,Marsh Wren,Cistothorus palustris,FALSE,1,Natureserve 3.0,4844019,,8700000,2,PIF BBS-based calculation 2008,,,,3,Hunter,,3,Hunter,,5,bbs07,,1.8,BBS & RngG,US-MX,14,FALSE,FALSE,FALSE,,FALSE,,FALSE,FALSE
6013,37,1463,Blue-gray Gnatcatcher,Polioptila caerulea,FALSE,1,Natureserve 3.0,6577715,,160000000,1,PIF BBS-based calculation 2008,,,,3,BBS-08,,2,SE-PIF,,2,bbs07,,0.1,BBS & RngG,US-MX,9,FALSE,FALSE,FALSE,,FALSE,,FALSE,FALSE
6014,37,1509,Eastern Bluebird,Sialia sialis,FALSE,1,Natureserve 3.0,5455886,,22000000,2,PIF BBS-based calculation 2008,,,,3,BBS-08,,2,SE-PIF,,2,bbs07,,0.2,BBS & RngG,,10,FALSE,FALSE,FALSE,,FALSE,,FALSE,FALSE
6015,37,1536,Wood Thrush,Hylocichla mustelina,FALSE,2,Natureserve 3.0,3489351,,11000000,2,PIF BBS-based calculation 2008,,,,3,No data,,3,SE-PIF,,1,bbs07,,0,BBS,US-MX,11,FALSE,FALSE,FALSE,,FALSE,,FALSE,FALSE
6016,37,1554,American Robin,Turdus migratorius,FALSE,1,Natureserve 3.0,16401793,,310000000,1,PIF BBS-based calculation 2008,,,,3,No data,,1,SE-PIF,,1,Hunter,Concur (Vermillion),0,BBS & RngG & Nwt,CA-US,7,FALSE,FALSE,FALSE,,FALSE,,FALSE,FALSE
6017,37,1562,Gray Catbird,Dumetella carolinensis,FALSE,1,Natureserve 3.0,6812629,,27000000,2,PIF BBS-based calculation 2008,,,,3,No data,,2,SE-PIF,,1,bbs07,,0,BBS,US-MX,9,FALSE,FALSE,FALSE,,FALSE,,FALSE,FALSE
6018,37,1564,Northern Mockingbird,Mimus polyglottos,FALSE,1,Natureserve 3.0,10130441,,32000000,2,PIF BBS-based calculation 2008,,,,3,BBS-08,,1,SE-PIF,,5,bbs07,,2.8,BBS & RngG,,12,FALSE,FALSE,FALSE,,FALSE,,FALSE,FALSE
6019,37,1569,Brown Thrasher,Toxostoma rufum,FALSE,1,Natureserve 3.0,5662789,,4900000,3,PIF BBS-based calculation 2008,,,,4,BBS-08,,3,SE-PIF,,3,bbs07,,0.3,BBS & Nwt,,14,TRUE,FALSE,FALSE,,FALSE,MA,FALSE,FALSE
6020,37,1570,Long-billed Thrasher,Toxostoma longirostre,FALSE,4,Natureserve 3.0,298906,,380000,4,PIF BBS-based calculation 2008,,,,3,BBS-08,,3,,,4,bbs07,,7.8,RngG & BBS,US-MX,18,FALSE,FALSE,FALSE,,FALSE,,FALSE,FALSE
6021,37,1575,Curve-billed Thrasher,Toxostoma curvirostre,FALSE,2,Natureserve 3.0,2015252,,3200000,3,PIF BBS-based calculation 2008,,,,3,Hunter,,2,Hunter,,2,bbs07,,0.3,RngG & BBS,US-MX,12,FALSE,FALSE,FALSE,,FALSE,,FALSE,FALSE
6022,37,1586,European Starling,Sturnus vulgaris,TRUE,1,Natureserve 3.0,36834255,,150000000,1,PIF BBS-based calculation 2008,,,,2,BBS-08,,1,SE-PIF,,4,bbs07,,0.2,RngG & BBS,,9,FALSE,FALSE,FALSE,,FALSE,,FALSE,FALSE
6023,37,1628,Prothonotary Warbler,Protonotaria citrea,FALSE,2,Natureserve 3.0,2172187,,1600000,3,PIF BBS-based calculation 2008,,,,3,BBS-08,,4,,,2,bbs07,,1.5,BBS,US-MX,14,TRUE,TRUE,FALSE,,FALSE,MA,FALSE,FALSE
6024,37,1629,Swainson's Warbler,Limnothlypis swainsonii,FALSE,2,Natureserve 3.0,1142783,,95000,4,PIF BBS-based calculation 2008,,,,3,No data,,4,SE-PIF,,1,Gustafson,Bulk of nesting is in adjacent (26; 25; 27) BCRs (Vermillion),,,US-MX,14,FALSE,FALSE,FALSE,,FALSE,,FALSE,FALSE
6025,37,1644,Kentucky Warbler,Geothlypis formosa,FALSE,2,Natureserve 3.0,1969383,,2800000,3,PIF BBS-based calculation 2008,,,,3,Hunter,,4,Vermillion,See comments under ACFL; BCR 26 threat score = 3,1,Vermillion,Support BBS-based score; backed with LA/TX BBA records;  see Lockwood and Freeman (2004) Handbook of TX Birds range map,0,BBS,,13,FALSE,FALSE,FALSE,,FALSE,,FALSE,FALSE
6026,37,1650,Common Yellowthroat,Geothlypis trichas,FALSE,1,Natureserve 3.0,11108512,,87000000,1,PIF BBS-based calculation 2008,,,,1,BBS-08,,2,SE-PIF,,4,bbs07,,0.5,BBS & RngG,CA-US-MX,9,FALSE,FALSE,FALSE,,FALSE,,FALSE,FALSE
6027,37,1656,Hooded Warbler,Setophaga citrina,FALSE,2,Natureserve 3.0,1999482,,4600000,3,PIF BBS-based calculation 2008,,,,3,No data,,3,SE-PIF,,2,bbs07,,0.1,BBS,US-MX,13,FALSE,FALSE,FALSE,,FALSE,,FALSE,FALSE
6028,37,1661,Northern Parula,Setophaga americana,FALSE,2,Natureserve 3.0,3351228,,13000000,2,PIF BBS-based calculation 2008,,,,3,BBS-08,,3,,,2,bbs07,,0.2,BBS,CA-US-MX,12,FALSE,FALSE,FALSE,,FALSE,,FALSE,FALSE
6029,37,1662,Tropical Parula,Setophaga pitiayumi,FALSE,1,Natureserve 3.0,8382828,,20000000,2,PIFTC-02,,,,5,Vermillion; TX BBA; Gustafson,Suggest that BCR 36 amd 37 scores should be same; NE Mexico scores = 5,4,,,3,Gustafson,high density on King Ranch-Norias otherwise absent from Rio Grande corridor in recent years; situation unclear in Mexico but present on riparian corridors including Rio Corona in good numbers.,0.1,Range,,15,TRUE,FALSE,FALSE,,FALSE,IM,FALSE,FALSE
6030,37,1672,Pine Warbler,Setophaga pinus,FALSE,2,Natureserve 3.0,2071023,,13000000,2,PIF BBS-based calculation 2008,,,,3,BBS-08,,2,SE-PIF,,2,bbs07,,0.2,BBS & RngG,,11,FALSE,FALSE,FALSE,,FALSE,,FALSE,FALSE
6031,37,1674,Yellow-throated Warbler,Setophaga dominica,FALSE,2,Natureserve 3.0,1928389,,1800000,3,PIF BBS-based calculation 2008,,,,3,No data,,4,,,1,bbs07,,0,BBS & RngG,US-MX,13,FALSE,FALSE,FALSE,,FALSE,,FALSE,FALSE
6032,37,1704,Yellow-breasted Chat,Icteria virens,FALSE,1,Natureserve 3.0,6147428,,13000000,2,PIF BBS-based calculation 2008,,,,3,BBS-08,,3,SE-PIF,,1,bbs07,,0,BBS & RngG,US-MX,10,FALSE,FALSE,FALSE,,FALSE,,FALSE,FALSE
6033,37,1805,Olive Sparrow,Arremonops rufivirgatus,FALSE,3,Natureserve 3.0,484726,,,3,Gomez-Panjabi,,,,3,BBS-08,,3,SE-PIF,,4,bbs07,,1.7,RngG & BBS,,16,FALSE,FALSE,FALSE,,FALSE,,FALSE,FALSE
6034,37,1813,Eastern Towhee,Pipilo erythrophthalmus,FALSE,2,Natureserve 3.0,3152315,,28000000,2,PIF BBS-based calculation 2008,,,,3,BBS-08,,3,SE-PIF,,1,bbs07,,0,BBS,,11,FALSE,FALSE,FALSE,,FALSE,,FALSE,FALSE
6035,37,1829,Botteri's Sparrow,Peucaea botterii,FALSE,3,Natureserve 3.0,984366,,,4,Gomez-Panjabi,PS score too low?  Seems to be overmapped in Mexico,restricted within range; less abundant than CASP where they both occur,,3,Gustafson,seems stable in BCR; grassland management critical,4,Gustafson,Should match continental scores;  largest impact seems to be habitat managament on grasslands,5,Gustafson,Agree; where habitat is suitable birds are not scarce!,0.3,Range,,19,TRUE,FALSE,FALSE,,FALSE,MA,FALSE,FALSE
6036,37,1830,Cassin's Sparrow,Peucaea cassinii,FALSE,2,PIFSC-08,1830404,Reduce by 10%; NS overestimates the regular breeding range of the species,11000000,2,PIF BBS-based calculation 2008,,most of range in US is well-sampled by BBS; BBS indicates high density,,3,BBS-08,,3,SE-PIF,,2,bbs07,,0.3,BBS & RngG,US-MX,12,FALSE,FALSE,FALSE,,FALSE,,FALSE,FALSE
6037,37,1838,Field Sparrow,Spizella pusilla,FALSE,2,Natureserve 3.0,3993359,,7600000,2,PIF BBS-based calculation 2008,,,,3,BBS-08,,3,SE-PIF,,2,bbs07,,0.1,BBS,,12,FALSE,FALSE,FALSE,,TRUE,,FALSE,FALSE
6038,37,1842,Lark Sparrow,Chondestes grammacus,FALSE,1,Natureserve 3.0,5600832,,7500000,2,PIF BBS-based calculation 2008,,,,4,BBS-08,,3,,,2,bbs07,,0.3,BBS & RngG,US-MX,12,FALSE,FALSE,FALSE,,FALSE,,FALSE,FALSE
6039,37,1844,Black-throated Sparrow,Amphispiza bilineata,FALSE,2,Natureserve 3.0,2448937,,51000000,1,PIF BBS-based calculation 2008,,distance revised to 125 m based on review of RMBO grassland dataset; score changes to PS=1 (Blancher email; Dec. 20; 2008),,3,No data,,2,Vermillion,Species added to BCR 37 based on recent BBS record(s),1,bbs07,,0.1,BBS & RngG,US-MX,9,FALSE,FALSE,FALSE,,FALSE,,FALSE,FALSE
6040,37,1848,Grasshopper Sparrow,Ammodramus savannarum,FALSE,1,Natureserve 3.0,5209138,,31000000,2,PIF BBS-based calculation 2008,,,,3,No data,,3,SE-PIF,,1,bbs07,,0,BBS & RngG,US-MX,10,FALSE,FALSE,FALSE,,FALSE,,FALSE,FALSE
6041,37,1850,Henslow's Sparrow,Ammodramus henslowii,FALSE,2,Natureserve 3.0,1091291,,400000,4,PIF BBS-based calculation 2008,,,,5,Hunter,,5,,,2,Vermillion,How can BCR 37 where species is extirpated have higher score than BCRs with recent breeding records?,,,,18,TRUE,TRUE,TRUE,TBTC,FALSE,CR,FALSE,FALSE
6042,37,1854,Seaside Sparrow,Ammodramus maritimus,FALSE,4,Natureserve 3.0,173335,,160000,4,PIF BBS-based calculation 2008,,,,3,Hunter,,3,Hunter,,5,bbs07,,48.1,BBS,,19,FALSE,FALSE,FALSE,,FALSE,PR,TRUE,TRUE
6043,37,1885,Summer Tanager,Piranga rubra,FALSE,2,Natureserve 3.0,3270144,,12000000,2,PIF BBS-based calculation 2008,,,,3,BBS-08,,4,,,3,bbs07,,0.5,BBS & RngG,US-MX,14,TRUE,FALSE,FALSE,,FALSE,MA,FALSE,FALSE
6044,37,1899,Northern Cardinal,Cardinalis cardinalis,FALSE,1,Natureserve 3.0,5833568,,120000000,1,PIF BBS-based calculation 2008,,,,2,BBS-08,,1,SE-PIF,,5,bbs07,,1.8,BBS & RngG,,10,FALSE,FALSE,FALSE,,FALSE,,FALSE,FALSE
